HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Sudan , Egypt,1,2,Semi-finals, Egypt
Ethiopia , South Africa,,,Semi-finals,Draw
Egypt , Ethiopia,4,0,Final,Egypt 
Egypt, Ethiopia,4,0,Final,Egypt
Sudan , Ethiopia,1,0,Final,Sudan 
Egypt, Sudan,2,1,Final,Egypt
Ethiopia , Tunisia,4,2,Semi-finals,Ethiopia 
Egypt, Uganda,2,1,Semi-finals,Egypt
Tunisia , Uganda,3,0,Third place,Tunisia 
Ethiopia ,Egypt,4,2,Final,Ethiopia 
Ghana , Tunisia,1,1,Group stage,Draw
Ghana , Ethiopia,2,0,Group stage,Ghana 
Ethiopia , Tunisia,4,2,Group stage,Ethiopia 
Egypt, Nigeria,6,3,Group stage,Egypt
Egypt, Sudan,2,2,Group stage,Draw
Sudan , Nigeria,4,0,Group stage,Sudan 
Egypt, Ethiopia,3,0,Third place,Egypt
Ghana , Sudan,3,0,Final,Ghana 
Tunisia , Ethiopia,4,0,Group stage,Tunisia 
Senegal , Tunisia,0,0,Group stage,Draw
Senegal , Ethiopia,5,1,Group stage,Senegal 
Ghana , Congo-Léopoldville,5,2,Group stage,Ghana 
Ivory Coast , Congo-Léopoldville,3,0,Group stage,Ivory Coast 
Ghana , Ivory Coast,4,1,Group stage,Ghana 
Senegal , Ivory Coast,0,1,Third place, Ivory Coast
Ghana , Tunisia,3,2,Final,Ghana 
Ethiopia , Uganda,2,1,Group stage,Ethiopia 
Ivory Coast , Algeria,3,0,Group stage,Ivory Coast 
Ethiopia , Ivory Coast,1,0,Group stage,Ethiopia 
Algeria , Uganda,4,0,Group stage,Algeria 
Ivory Coast , Uganda,2,1,Group stage,Ivory Coast 
Ethiopia , Algeria,3,1,Group stage,Ethiopia 
Ghana , Senegal,2,2,Group stage,Draw
Congo-Kinshasa , Congo-Brazzaville,3,0,Group stage,Congo-Kinshasa 
Senegal , Congo-Brazzaville,2,1,Group stage,Senegal 
Ghana , Congo-Kinshasa,2,1,Group stage,Ghana 
Congo-Kinshasa , Senegal,2,1,Group stage,Congo-Kinshasa 
Ghana , Congo-Brazzaville,3,1,Group stage,Ghana 
Ethiopia , Congo-Kinshasa,2,3,Semi-finals, Congo-Kinshasa
Ghana , Ivory Coast,4,3,Semi-finals,Ghana 
Ivory Coast , Ethiopia,1,0,Third place,Ivory Coast 
Congo-Kinshasa , Ghana,1,0,Final,Congo-Kinshasa 
Cameroon , Ivory Coast,3,2,Group stage,Cameroon 
Sudan , Ethiopia,3,0,Group stage,Sudan 
Cameroon , Ethiopia,3,2,Group stage,Cameroon 
Ivory Coast , Sudan,1,0,Group stage,Ivory Coast 
Ivory Coast , Ethiopia,6,1,Group stage,Ivory Coast 
Sudan , Cameroon,2,1,Group stage,Sudan 
Ghana , Congo-Kinshasa,2,0,Group stage,Ghana 
United Arab Rep. , Guinea,4,1,Group stage,United Arab Rep. 
Congo-Kinshasa , Guinea,2,2,Group stage,Draw
United Arab Rep. , Ghana,1,1,Group stage,Draw
Guinea , Ghana,1,1,Group stage,Draw
United Arab Rep. , Congo-Kinshasa,1,0,Group stage,United Arab Rep. 
Ivory Coast , Ghana,1,2,Semi-finals, Ghana
United Arab Rep. , Sudan,1,2,Semi-finals, Sudan
United Arab Rep. , Ivory Coast,3,1,Third place,United Arab Rep. 
Sudan , Ghana,1,0,Final,Sudan 
Cameroon , Kenya,2,1,Group stage,Cameroon 
Mali , Togo,3,3,Group stage,Draw
Mali , Kenya,1,1,Group stage,Draw
Cameroon , Togo,2,0,Group stage,Cameroon 
Togo , Kenya,1,1,Group stage,Draw
Cameroon , Mali,1,1,Group stage,Draw
Congo , Morocco,1,1,Group stage,Draw
Zaire , Sudan,1,1,Group stage,Draw
Morocco , Sudan,1,1,Group stage,Draw
Zaire , Congo,2,0,Group stage,Zaire 
Morocco , Zaire,1,1,Group stage,Draw
Congo , Sudan,4,2,Group stage,Congo 
Cameroon , Congo,0,1,Semi-finals, Congo
Zaire , Mali,3,4,Semi-finals, Mali
Cameroon , Zaire,5,2,Third place,Cameroon 
Congo , Mali,3,2,Final,Congo 
Egypt , Uganda,2,1,Group stage,Egypt 
Zambia , Ivory Coast,1,0,Group stage,Zambia 
Egypt , Zambia,3,1,Group stage,Egypt 
Ivory Coast , Uganda,2,2,Group stage,Draw
Egypt , Ivory Coast,2,0,Group stage,Egypt 
Zambia , Uganda,1,0,Group stage,Zambia 
Zaire , Guinea,2,1,Group stage,Zaire 
Congo , Mauritius,2,0,Group stage,Congo 
Guinea , Mauritius,2,1,Group stage,Guinea 
Congo , Zaire,2,1,Group stage,Congo 
Congo , Guinea,1,1,Group stage,Draw
Zaire , Mauritius,4,1,Group stage,Zaire 
Egypt , Zaire,2,3,Semi-finals, Zaire
Congo , Zambia,2,4,Semi-finals, Zambia
Congo , Egypt,0,4,Third place, Egypt
Zaire , Zambia,2,2,Final,Draw
Zaire , Zambia,2,0,Final,Zaire 
Ethiopia , Uganda,2,0,Group stage,Ethiopia 
Egypt , Guinea,1,1,Group stage,Draw
Egypt , Uganda,2,1,Group stage,Egypt 
Ethiopia , Guinea,1,2,Group stage, Guinea
Guinea , Uganda,2,1,Group stage,Guinea 
Ethiopia , Egypt,1,1,Group stage,Draw
Nigeria , Zaire,4,2,Group stage,Nigeria 
Morocco , Sudan,2,2,Group stage,Draw
Nigeria , Sudan,1,0,Group stage,Nigeria 
Morocco , Zaire,1,0,Group stage,Morocco 
Morocco , Nigeria,3,1,Group stage,Morocco 
Zaire , Sudan,1,1,Group stage,Draw
Guinea , Nigeria,1,1,Group stage,Draw
Morocco , Egypt,2,1,Group stage,Morocco 
Morocco , Nigeria,2,1,Group stage,Morocco 
Guinea , Egypt,4,2,Group stage,Guinea 
Nigeria , Egypt,3,2,Group stage,Nigeria 
Guinea , Morocco,1,1,Group stage,Draw
Ghana , Zambia,2,1,Group stage,Ghana 
Nigeria , Upper Volta,4,2,Group stage,Nigeria 
Zambia , Upper Volta,2,0,Group stage,Zambia 
Nigeria , Ghana,1,1,Group stage,Draw
Zambia , Nigeria,0,0,Group stage,Draw
Ghana , Upper Volta,3,0,Group stage,Ghana 
Morocco , Tunisia,1,1,Group stage,Draw
Uganda , Congo,3,1,Group stage,Uganda 
Tunisia , Uganda,3,1,Group stage,Tunisia 
Morocco , Congo,1,0,Group stage,Morocco 
Congo , Tunisia,0,0,Group stage,Draw
Uganda , Morocco,3,0,Group stage,Uganda 
