HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Sudan , Egypt,1.0,2.0,Semifinals,Away
Ethiopia , South Africa,,,Semifinals,Draw
Egypt , Ethiopia,4.0,0.0,Final,Home
Egypt, Ethiopia,4.0,0.0,Final Tournament,Home
Sudan , Ethiopia,1.0,0.0,Final Tournament,Home
Egypt, Sudan,2.0,1.0,Final Tournament,Home
Ethiopia , Tunisia,4.0,2.0,Semifinals,Home
Egypt, Uganda,2.0,1.0,Semifinals,Home
Tunisia , Uganda,3.0,0.0,Third place match,Home
Ethiopia ,Egypt,4.0,2.0,Final,Home
Ghana , Tunisia,1.0,1.0,Group A,Draw
Ghana , Ethiopia,2.0,0.0,Group A,Home
Ethiopia , Tunisia,4.0,2.0,Group A,Home
Egypt, Nigeria,6.0,3.0,Group B,Home
Egypt, Sudan,2.0,2.0,Group B,Draw
Sudan , Nigeria,4.0,0.0,Group B,Home
Egypt, Ethiopia,3.0,0.0,Third place match,Home
Ghana , Sudan,3.0,0.0,Final,Home
Tunisia , Ethiopia,4.0,0.0,Group A,Home
Senegal , Tunisia,0.0,0.0,Group A,Draw
Senegal , Ethiopia,5.0,1.0,Group A,Home
Ghana , Congo-Léopoldville,5.0,2.0,Group B,Home
Ivory Coast , Congo-Léopoldville,3.0,0.0,Group B,Home
Ghana , Ivory Coast,4.0,1.0,Group B,Home
Senegal , Ivory Coast,0.0,1.0,Third place match,Away
Ghana , Tunisia,3.0,2.0,Final,Home
Ethiopia , Uganda,2.0,1.0,Group A,Home
Ivory Coast , Algeria,3.0,0.0,Group A,Home
Ethiopia , Ivory Coast,1.0,0.0,Group A,Home
Algeria , Uganda,4.0,0.0,Group A,Home
Ivory Coast , Uganda,2.0,1.0,Group A,Home
Ethiopia , Algeria,3.0,1.0,Group A,Home
Ghana , Senegal,2.0,2.0,Group B,Draw
Congo-Kinshasa , Congo-Brazzaville,3.0,0.0,Group B,Home
Senegal , Congo-Brazzaville,2.0,1.0,Group B,Home
Ghana , Congo-Kinshasa,2.0,1.0,Group B,Home
Congo-Kinshasa , Senegal,2.0,1.0,Group B,Home
Ghana , Congo-Brazzaville,3.0,1.0,Group B,Home
Ethiopia , Congo-Kinshasa,2.0,3.0,Semi-finals,Away
Ghana , Ivory Coast,4.0,3.0,Semi-finals,Home
Ivory Coast , Ethiopia,1.0,0.0,Third place match,Home
Congo-Kinshasa , Ghana,1.0,0.0,Final,Home
Cameroon , Ivory Coast,3.0,2.0,Group A,Home
Sudan , Ethiopia,3.0,0.0,Group A,Home
Cameroon , Ethiopia,3.0,2.0,Group A,Home
Ivory Coast , Sudan,1.0,0.0,Group A,Home
Ivory Coast , Ethiopia,6.0,1.0,Group A,Home
Sudan , Cameroon,2.0,1.0,Group A,Home
Ghana , Congo-Kinshasa,2.0,0.0,Group B,Home
United Arab Rep. , Guinea,4.0,1.0,Group B,Home
Congo-Kinshasa , Guinea,2.0,2.0,Group B,Draw
United Arab Rep. , Ghana,1.0,1.0,Group B,Draw
Guinea , Ghana,1.0,1.0,Group B,Draw
United Arab Rep. , Congo-Kinshasa,1.0,0.0,Group B,Home
