Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,MatchOutcome
1957,10-Feb-57,,Sudan , Egypt,1.0,2.0,Semi-finals,2057-02-10,36,13,4,-1
1957,16-Feb-57,,Egypt , Ethiopia,4.0,0.0,Final,2057-02-16,12,15,0,1
1959,22-May-59,,Egypt, Ethiopia,4.0,0.0,Final,2059-05-22,11,15,0,1
1959,25-May-59,,Sudan , Ethiopia,1.0,0.0,Final,2059-05-25,36,15,0,1
1959,29-May-59,,Egypt, Sudan,2.0,1.0,Final,2059-05-29,11,38,0,1
1962,14-Jan-62,,Ethiopia , Tunisia,4.0,2.0,Semi-finals,2062-01-14,14,41,4,1
1962,18-Jan-62,,Egypt, Uganda,2.0,1.0,Semi-finals,2062-01-18,11,42,4,1
1962,20-Jan-62,,Tunisia , Uganda,3.0,0.0,Third place,2062-01-20,39,42,5,1
1962,21-Jan-62,,Ethiopia ,Egypt,4.0,2.0,Final,2062-01-21,14,47,0,1
1963,24-Nov-63,,Ghana , Tunisia,1.0,1.0,Group stage,2063-11-24,17,41,1,0
1963,26-Nov-63,,Ghana , Ethiopia,2.0,0.0,Group stage,2063-11-26,17,15,1,1
1963,28-Nov-63,,Ethiopia , Tunisia,4.0,2.0,Group stage,2063-11-28,14,41,1,1
1963,24-Nov-63,,Egypt, Nigeria,6.0,3.0,Group stage,2063-11-24,11,33,1,1
1963,26-Nov-63,,Egypt, Sudan,2.0,2.0,Group stage,2063-11-26,11,38,1,0
1963,28-Nov-63,,Sudan , Nigeria,4.0,0.0,Group stage,2063-11-28,36,33,1,1
1963,30-Nov-63,,Egypt, Ethiopia,3.0,0.0,Third place,2063-11-30,11,15,5,1
1963,01-Dec-63,,Ghana , Sudan,3.0,0.0,Final,2063-12-01,17,38,0,1
1965,12-Nov-65,,Tunisia , Ethiopia,4.0,0.0,Group stage,2065-11-12,39,15,1,1
1965,14-Nov-65,,Senegal , Tunisia,0.0,0.0,Group stage,2065-11-14,33,41,1,0
1965,19-Nov-65,,Senegal , Ethiopia,5.0,1.0,Group stage,2065-11-19,33,15,1,1
1965,12-Nov-65,,Ghana , Congo-Léopoldville,5.0,2.0,Group stage,2065-11-12,17,11,1,1
1965,14-Nov-65,,Ivory Coast , Congo-Léopoldville,3.0,0.0,Group stage,2065-11-14,20,11,1,1
1965,19-Nov-65,,Ghana , Ivory Coast,4.0,1.0,Group stage,2065-11-19,17,21,1,1
1965,21-Nov-65,,Senegal , Ivory Coast,0.0,1.0,Third place,2065-11-21,33,21,5,-1
1965,21-Nov-65,,Ghana , Tunisia,3.0,2.0,Final,2065-11-21,17,41,0,1
1968,12-Jan-68,,Ethiopia , Uganda,2.0,1.0,Group stage,2068-01-12,14,42,1,1
1968,12-Jan-68,,Ivory Coast , Algeria,3.0,0.0,Group stage,2068-01-12,20,0,1,1
1968,14-Jan-68,,Ethiopia , Ivory Coast,1.0,0.0,Group stage,2068-01-14,14,21,1,1
1968,14-Jan-68,,Algeria , Uganda,4.0,0.0,Group stage,2068-01-14,0,42,1,1
1968,16-Jan-68,,Ivory Coast , Uganda,2.0,1.0,Group stage,2068-01-16,20,42,1,1
1968,16-Jan-68,,Ethiopia , Algeria,3.0,1.0,Group stage,2068-01-16,14,0,1,1
1968,12-Jan-68,,Ghana , Senegal,2.0,2.0,Group stage,2068-01-12,17,35,1,0
1968,12-Jan-68,,Congo-Kinshasa , Congo-Brazzaville,3.0,0.0,Group stage,2068-01-12,9,9,1,1
1968,14-Jan-68,,Senegal , Congo-Brazzaville,2.0,1.0,Group stage,2068-01-14,33,9,1,1
1968,14-Jan-68,,Ghana , Congo-Kinshasa,2.0,1.0,Group stage,2068-01-14,17,10,1,1
1968,16-Jan-68,,Congo-Kinshasa , Senegal,2.0,1.0,Group stage,2068-01-16,9,35,1,1
1968,16-Jan-68,,Ghana , Congo-Brazzaville,3.0,1.0,Group stage,2068-01-16,17,9,1,1
1968,19-Jan-68,,Ethiopia , Congo-Kinshasa,2.0,3.0,Semi-finals,2068-01-19,14,10,4,-1
1968,19-Jan-68,,Ghana , Ivory Coast,4.0,3.0,Semi-finals,2068-01-19,17,21,4,1
1968,21-Jan-68,,Ivory Coast , Ethiopia,1.0,0.0,Third place,2068-01-21,20,15,5,1
1968,21-Jan-68,,Congo-Kinshasa , Ghana,1.0,0.0,Final,2068-01-21,9,18,0,1
1970,06-Feb-70,,Cameroon , Ivory Coast,3.0,2.0,Group stage,2070-02-06,5,21,1,1
1970,06-Feb-70,,Sudan , Ethiopia,3.0,0.0,Group stage,2070-02-06,36,15,1,1
1970,08-Feb-70,,Cameroon , Ethiopia,3.0,2.0,Group stage,2070-02-08,5,15,1,1
1970,08-Feb-70,,Ivory Coast , Sudan,1.0,0.0,Group stage,2070-02-08,20,38,1,1
1970,10-Feb-70,,Ivory Coast , Ethiopia,6.0,1.0,Group stage,2070-02-10,20,15,1,1
1970,10-Feb-70,,Sudan , Cameroon,2.0,1.0,Group stage,2070-02-10,36,5,1,1
1970,07-Feb-70,,Ghana , Congo-Kinshasa,2.0,0.0,Group stage,2070-02-07,17,10,1,1
1970,07-Feb-70,,United Arab Rep. , Guinea,4.0,1.0,Group stage,2070-02-07,41,19,1,1
1970,09-Feb-70,,Congo-Kinshasa , Guinea,2.0,2.0,Group stage,2070-02-09,9,19,1,0
1970,09-Feb-70,,United Arab Rep. , Ghana,1.0,1.0,Group stage,2070-02-09,41,18,1,0
1970,11-Feb-70,,Guinea , Ghana,1.0,1.0,Group stage,2070-02-11,18,18,1,0
1970,11-Feb-70,,United Arab Rep. , Congo-Kinshasa,1.0,0.0,Group stage,2070-02-11,41,10,1,1
1970,14-Feb-70,,Ivory Coast , Ghana,1.0,2.0,Semi-finals,2070-02-14,20,18,4,-1
1970,14-Feb-70,,United Arab Rep. , Sudan,1.0,2.0,Semi-finals,2070-02-14,41,38,4,-1
1970,16-Feb-70,,United Arab Rep. , Ivory Coast,3.0,1.0,Third place,2070-02-16,41,21,5,1
1970,16-Feb-70,,Sudan , Ghana,1.0,0.0,Final,2070-02-16,36,18,0,1
1972,23-Feb-72,,Cameroon , Kenya,2.0,1.0,Group stage,2072-02-23,5,22,1,1
1972,24-Feb-72,,Mali , Togo,3.0,3.0,Group stage,2072-02-24,26,40,1,0
1972,26-Feb-72,,Mali , Kenya,1.0,1.0,Group stage,2072-02-26,26,22,1,0
1972,26-Feb-72,,Cameroon , Togo,2.0,0.0,Group stage,2072-02-26,5,40,1,1
1972,28-Feb-72,,Togo , Kenya,1.0,1.0,Group stage,2072-02-28,38,22,1,0
1972,28-Feb-72,,Cameroon , Mali,1.0,1.0,Group stage,2072-02-28,5,27,1,0
1972,25-Feb-72,,Congo , Morocco,1.0,1.0,Group stage,2072-02-25,8,30,1,0
1972,25-Feb-72,,Zaire , Sudan,1.0,1.0,Group stage,2072-02-25,42,38,1,0
1972,27-Feb-72,,Morocco , Sudan,1.0,1.0,Group stage,2072-02-27,28,38,1,0
1972,27-Feb-72,,Zaire , Congo,2.0,0.0,Group stage,2072-02-27,42,8,1,1
1972,29-Feb-72,,Morocco , Zaire,1.0,1.0,Group stage,2072-02-29,28,44,1,0
1972,29-Feb-72,,Congo , Sudan,4.0,2.0,Group stage,2072-02-29,8,38,1,1
1972,02-Mar-72,,Cameroon , Congo,0.0,1.0,Semi-finals,2072-03-02,5,8,4,-1
1972,02-Mar-72,,Zaire , Mali,3.0,4.0,Semi-finals,2072-03-02,42,27,4,-1
1972,04-Mar-72,,Cameroon , Zaire,5.0,2.0,Third place,2072-03-04,5,44,5,1
1972,05-Mar-72,,Congo , Mali,3.0,2.0,Final,2072-03-05,8,27,0,1
1974,01-Mar-74,,Egypt , Uganda,2.0,1.0,Group stage,1974-03-01,12,42,1,1
1974,02-Mar-74,,Zambia , Ivory Coast,1.0,0.0,Group stage,1974-03-02,43,21,1,1
1974,04-Mar-74,,Egypt , Zambia,3.0,1.0,Group stage,1974-03-04,12,45,1,1
1974,04-Mar-74,,Ivory Coast , Uganda,2.0,2.0,Group stage,1974-03-04,20,42,1,0
1974,06-Mar-74,,Egypt , Ivory Coast,2.0,0.0,Group stage,1974-03-06,12,21,1,1
1974,06-Mar-74,,Zambia , Uganda,1.0,0.0,Group stage,1974-03-06,43,42,1,1
1974,03-Mar-74,,Zaire , Guinea,2.0,1.0,Group stage,1974-03-03,42,19,1,1
1974,03-Mar-74,,Congo , Mauritius,2.0,0.0,Group stage,1974-03-03,8,29,1,1
1974,05-Mar-74,,Guinea , Mauritius,2.0,1.0,Group stage,1974-03-05,18,29,1,1
1974,05-Mar-74,,Congo , Zaire,2.0,1.0,Group stage,1974-03-05,8,44,1,1
1974,07-Mar-74,,Congo , Guinea,1.0,1.0,Group stage,1974-03-07,8,19,1,0
1974,07-Mar-74,,Zaire , Mauritius,4.0,1.0,Group stage,1974-03-07,42,29,1,1
1974,09-Mar-74,,Egypt , Zaire,2.0,3.0,Semi-finals,1974-03-09,12,44,4,-1
1974,09-Mar-74,,Congo , Zambia,2.0,4.0,Semi-finals,1974-03-09,8,45,4,-1
1974,11-Mar-74,,Congo , Egypt,0.0,4.0,Third place,1974-03-11,8,13,5,-1
1974,12-Mar-74,,Zaire , Zambia,2.0,2.0,Final,1974-03-12,42,45,0,0
1974,14-Mar-74,,Zaire , Zambia,2.0,0.0,Final,1974-03-14,42,45,0,1
1976,29-Feb-76,,Ethiopia , Uganda,2.0,0.0,Group stage,1976-02-29,14,42,1,1
1976,29-Feb-76,,Egypt , Guinea,1.0,1.0,Group stage,1976-02-29,12,19,1,0
1976,03-Mar-76,,Egypt , Uganda,2.0,1.0,Group stage,1976-03-03,12,42,1,1
1976,03-Mar-76,,Ethiopia , Guinea,1.0,2.0,Group stage,1976-03-03,14,19,1,-1
1976,05-Mar-76,,Guinea , Uganda,2.0,1.0,Group stage,1976-03-05,18,42,1,1
1976,05-Mar-76,,Ethiopia , Egypt,1.0,1.0,Group stage,1976-03-05,14,13,1,0
