Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,Winner
1957,10-Feb-57,,Sudan , Egypt,1,2,Semi-finals,10/02/2057,34,9,4,-1
1957,16-Feb-57,,Egypt , Ethiopia,4,0,Final,16/02/2057,10,11,0,1
1959,22-May-59,,Egypt, Ethiopia,4,0,Final,22/05/2059,9,11,0,1
1959,25-May-59,,Sudan , Ethiopia,1,0,Final,25/05/2059,34,11,0,1
1959,29-May-59,,Egypt, Sudan,2,1,Final,29/05/2059,9,34,0,1
1962,14-Jan-62,,Ethiopia , Tunisia,4,2,Semi-finals,14/01/2062,12,37,4,1
1962,18-Jan-62,,Egypt, Uganda,2,1,Semi-finals,18/01/2062,9,38,4,1
1962,20-Jan-62,,Tunisia , Uganda,3,0,Third place,20/01/2062,37,38,5,1
1962,21-Jan-62,,Ethiopia ,Egypt,4,2,Final,21/01/2062,12,43,0,1
1963,24-Nov-63,,Ghana , Tunisia,1,1,Group stage,24/11/2063,15,37,1,0
1963,26-Nov-63,,Ghana , Ethiopia,2,0,Group stage,26/11/2063,15,11,1,1
1963,28-Nov-63,,Ethiopia , Tunisia,4,2,Group stage,28/11/2063,12,37,1,1
1963,24-Nov-63,,Egypt, Nigeria,6,3,Group stage,24/11/2063,9,29,1,1
1963,26-Nov-63,,Egypt, Sudan,2,2,Group stage,26/11/2063,9,34,1,0
1963,28-Nov-63,,Sudan , Nigeria,4,0,Group stage,28/11/2063,34,29,1,1
1963,30-Nov-63,,Egypt, Ethiopia,3,0,Third place,30/11/2063,9,11,5,1
1963,01-Dec-63,,Ghana , Sudan,3,0,Final,01/12/2063,15,34,0,1
1965,12-Nov-65,,Tunisia , Ethiopia,4,0,Group stage,12/11/2065,37,11,1,1
1965,14-Nov-65,,Senegal , Tunisia,0,0,Group stage,14/11/2065,31,37,1,0
1965,19-Nov-65,,Senegal , Ethiopia,5,1,Group stage,19/11/2065,31,11,1,1
1965,12-Nov-65,,Ghana , DR Congo,5,2,Group stage,12/11/2065,15,8,1,1
1965,14-Nov-65,,Ivory Coast , DR Congo,3,0,Group stage,14/11/2065,18,8,1,1
1965,19-Nov-65,,Ghana , Ivory Coast,4,1,Group stage,19/11/2065,15,17,1,1
1965,21-Nov-65,,Senegal , Ivory Coast,0,1,Third place,21/11/2065,31,17,5,-1
1965,21-Nov-65,,Ghana , Tunisia,3,2,Final,21/11/2065,15,37,0,1
1968,12-Jan-68,,Ethiopia , Uganda,2,1,Group stage,12/01/2068,12,38,1,1
1968,12-Jan-68,,Ivory Coast , Algeria,3,0,Group stage,12/01/2068,18,0,1,1
1968,14-Jan-68,,Ethiopia , Ivory Coast,1,0,Group stage,14/01/2068,12,17,1,1
1968,14-Jan-68,,Algeria , Uganda,4,0,Group stage,14/01/2068,0,38,1,1
1968,16-Jan-68,,Ivory Coast , Uganda,2,1,Group stage,16/01/2068,18,38,1,1
1968,16-Jan-68,,Ethiopia , Algeria,3,1,Group stage,16/01/2068,12,0,1,1
1968,12-Jan-68,,Ghana , Senegal,2,2,Group stage,12/01/2068,15,31,1,0
1968,12-Jan-68,,DR Congo , DR Congo,3,0,Group stage,12/01/2068,8,8,1,1
1968,14-Jan-68,,Senegal , DR Congo,2,1,Group stage,14/01/2068,31,8,1,1
1968,14-Jan-68,,Ghana , DR Congo,2,1,Group stage,14/01/2068,15,8,1,1
1968,16-Jan-68,,DR Congo , Senegal,2,1,Group stage,16/01/2068,8,31,1,1
1968,16-Jan-68,,Ghana , DR Congo,3,1,Group stage,16/01/2068,15,8,1,1
1968,19-Jan-68,,Ethiopia , DR Congo,2,3,Semi-finals,19/01/2068,12,8,4,-1
1968,19-Jan-68,,Ghana , Ivory Coast,4,3,Semi-finals,19/01/2068,15,17,4,1
1968,21-Jan-68,,Ivory Coast , Ethiopia,1,0,Third place,21/01/2068,18,11,5,1
1968,21-Jan-68,,DR Congo , Ghana,1,0,Final,21/01/2068,8,14,0,1
1970,06-Feb-70,,Cameroon , Ivory Coast,3,2,Group stage,06/02/2070,5,17,1,1
1970,06-Feb-70,,Sudan , Ethiopia,3,0,Group stage,06/02/2070,34,11,1,1
1970,08-Feb-70,,Cameroon , Ethiopia,3,2,Group stage,08/02/2070,5,11,1,1
1970,08-Feb-70,,Ivory Coast , Sudan,1,0,Group stage,08/02/2070,18,34,1,1
1970,10-Feb-70,,Ivory Coast , Ethiopia,6,1,Group stage,10/02/2070,18,11,1,1
1970,10-Feb-70,,Sudan , Cameroon,2,1,Group stage,10/02/2070,34,5,1,1
1970,07-Feb-70,,Ghana , DR Congo,2,0,Group stage,07/02/2070,15,8,1,1
1970,07-Feb-70,,United Arab Rep. , Guinea,4,1,Group stage,07/02/2070,39,15,1,1
1970,09-Feb-70,,DR Congo , Guinea,2,2,Group stage,09/02/2070,8,15,1,0
1970,09-Feb-70,,United Arab Rep. , Ghana,1,1,Group stage,09/02/2070,39,14,1,0
1970,11-Feb-70,,Guinea , Ghana,1,1,Group stage,11/02/2070,16,14,1,0
1970,11-Feb-70,,United Arab Rep. , DR Congo,1,0,Group stage,11/02/2070,39,8,1,1
1970,14-Feb-70,,Ivory Coast , Ghana,1,2,Semi-finals,14/02/2070,18,14,4,-1
1970,14-Feb-70,,United Arab Rep. , Sudan,1,2,Semi-finals,14/02/2070,39,34,4,-1
1970,16-Feb-70,,United Arab Rep. , Ivory Coast,3,1,Third place,16/02/2070,39,17,5,1
1970,16-Feb-70,,Sudan , Ghana,1,0,Final,16/02/2070,34,14,0,1
1972,23-Feb-72,,Cameroon , Kenya,2,1,Group stage,23/02/2072,5,18,1,1
1972,24-Feb-72,,Mali , Togo,3,3,Group stage,24/02/2072,24,36,1,0
1972,26-Feb-72,,Mali , Kenya,1,1,Group stage,26/02/2072,24,18,1,0
1972,26-Feb-72,,Cameroon , Togo,2,0,Group stage,26/02/2072,5,36,1,1
1972,28-Feb-72,,Togo , Kenya,1,1,Group stage,28/02/2072,36,18,1,0
1972,28-Feb-72,,Cameroon , Mali,1,1,Group stage,28/02/2072,5,23,1,0
1972,25-Feb-72,,DR Congo , Morocco,1,1,Group stage,25/02/2072,8,26,1,0
1972,25-Feb-72,,Zaire , Sudan,1,1,Group stage,25/02/2072,40,34,1,0
1972,27-Feb-72,,Morocco , Sudan,1,1,Group stage,27/02/2072,26,34,1,0
1972,27-Feb-72,,Zaire , DR Congo,2,0,Group stage,27/02/2072,40,8,1,1
1972,29-Feb-72,,Morocco , Zaire,1,1,Group stage,29/02/2072,26,40,1,0
1972,29-Feb-72,,DR Congo , Sudan,4,2,Group stage,29/02/2072,8,34,1,1
1972,02-Mar-72,,Cameroon , DR Congo,0,1,Semi-finals,02/03/2072,5,8,4,-1
1972,02-Mar-72,,Zaire , Mali,3,4,Semi-finals,02/03/2072,40,23,4,-1
1972,04-Mar-72,,Cameroon , Zaire,5,2,Third place,04/03/2072,5,40,5,1
1972,05-Mar-72,,DR Congo , Mali,3,2,Final,05/03/2072,8,23,0,1
1974,01-Mar-74,,Egypt , Uganda,2,1,Group stage,01/03/1974,10,38,1,1
1974,02-Mar-74,,Zambia , Ivory Coast,1,0,Group stage,02/03/1974,41,17,1,1
1974,04-Mar-74,,Egypt , Zambia,3,1,Group stage,04/03/1974,10,41,1,1
1974,04-Mar-74,,Ivory Coast , Uganda,2,2,Group stage,04/03/1974,18,38,1,0
1974,06-Mar-74,,Egypt , Ivory Coast,2,0,Group stage,06/03/1974,10,17,1,1
1974,06-Mar-74,,Zambia , Uganda,1,0,Group stage,06/03/1974,41,38,1,1
1974,03-Mar-74,,Zaire , Guinea,2,1,Group stage,03/03/1974,40,15,1,1
1974,03-Mar-74,,DR Congo , Mauritius,2,0,Group stage,03/03/1974,8,25,1,1
1974,05-Mar-74,,Guinea , Mauritius,2,1,Group stage,05/03/1974,16,25,1,1
1974,05-Mar-74,,DR Congo , Zaire,2,1,Group stage,05/03/1974,8,40,1,1
1974,07-Mar-74,,DR Congo , Guinea,1,1,Group stage,07/03/1974,8,15,1,0
1974,07-Mar-74,,Zaire , Mauritius,4,1,Group stage,07/03/1974,40,25,1,1
1974,09-Mar-74,,Egypt , Zaire,2,3,Semi-finals,09/03/1974,10,40,4,-1
1974,09-Mar-74,,DR Congo , Zambia,2,4,Semi-finals,09/03/1974,8,41,4,-1
1974,11-Mar-74,,DR Congo , Egypt,0,4,Third place,11/03/1974,8,9,5,-1
1974,12-Mar-74,,Zaire , Zambia,2,2,Final,12/03/1974,40,41,0,0
1974,14-Mar-74,,Zaire , Zambia,2,0,Final,14/03/1974,40,41,0,1
1976,29-Feb-76,,Ethiopia , Uganda,2,0,Group stage,29/02/1976,12,38,1,1
