HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Sudan , Egypt,1,2,Semifinals,
Ethiopia , South Africa,,,Semifinals,
Egypt , Ethiopia,4,0,Final,
Egypt, Ethiopia,4,0,Final Tournament,
Sudan , Ethiopia,1,0,Final Tournament,
Egypt, Sudan,2,1,Final Tournament,
Ethiopia , Tunisia,4,2,Semifinals,
Egypt, Uganda,2,1,Semifinals,
Tunisia , Uganda,3,0,Third place match,
Ethiopia ,Egypt,4,2,Final,
Ghana , Tunisia,1,1,Group A,
Ghana , Ethiopia,2,0,Group A,
Ethiopia , Tunisia,4,2,Group A,
Egypt, Nigeria,6,3,Group B,
Egypt, Sudan,2,2,Group B,
Sudan , Nigeria,4,0,Group B,
Egypt, Ethiopia,3,0,Third place match,
Ghana , Sudan,3,0,Final,
Tunisia , Ethiopia,4,0,Group A,
Senegal , Tunisia,0,0,Group A,
Senegal , Ethiopia,5,1,Group A,
Ghana , Congo-Léopoldville,5,2,Group B,
Ivory Coast , Congo-Léopoldville,3,0,Group B,
Ghana , Ivory Coast,4,1,Group B,
Senegal , Ivory Coast,0,1,Third place match,
Ghana , Tunisia,3,2,Final,
Ethiopia , Uganda,2,1,Group A,
Ivory Coast , Algeria,3,0,Group A,
Ethiopia , Ivory Coast,1,0,Group A,
Algeria , Uganda,4,0,Group A,
Ivory Coast , Uganda,2,1,Group A,
Ethiopia , Algeria,3,1,Group A,
Ghana , Senegal,2,2,Group B,
Congo-Kinshasa , Congo-Brazzaville,3,0,Group B,
Senegal , Congo-Brazzaville,2,1,Group B,
Ghana , Congo-Kinshasa,2,1,Group B,
Congo-Kinshasa , Senegal,2,1,Group B,
Ghana , Congo-Brazzaville,3,1,Group B,
Ethiopia , Congo-Kinshasa,2,3,Semi-finals,
Ghana , Ivory Coast,4,3,Semi-finals,
Ivory Coast , Ethiopia,1,0,Third place match,
Congo-Kinshasa , Ghana,1,0,Final,
Cameroon , Ivory Coast,3,2,Group A,
Sudan , Ethiopia,3,0,Group A,
Cameroon , Ethiopia,3,2,Group A,
Ivory Coast , Sudan,1,0,Group A,
Ivory Coast , Ethiopia,6,1,Group A,
Sudan , Cameroon,2,1,Group A,
Ghana , Congo-Kinshasa,2,0,Group B,
United Arab Rep. , Guinea,4,1,Group B,
Congo-Kinshasa , Guinea,2,2,Group B,
United Arab Rep. , Ghana,1,1,Group B,
Guinea , Ghana,1,1,Group B,
United Arab Rep. , Congo-Kinshasa,1,0,Group B,
Ivory Coast , Ghana,1,2,Semifinals,
United Arab Rep. , Sudan,1,2,Semifinals,
United Arab Rep. , Ivory Coast,3,1,Third place match,
Sudan , Ghana,1,0,Final,
Cameroon , Kenya,2,1,Group A,
Mali , Togo,3,3,Group A,
Mali , Kenya,1,1,Group A,
Cameroon , Togo,2,0,Group A,
Togo , Kenya,1,1,Group A,
Cameroon , Mali,1,1,Group A,
Congo , Morocco,1,1,Group B,
Zaire , Sudan,1,1,Group B,
Morocco , Sudan,1,1,Group B,
Zaire , Congo,2,0,Group B,
Morocco , Zaire,1,1,Group B,
Congo , Sudan,4,2,Group B,
Cameroon , Congo,0,1,Semifinals,
Zaire , Mali,3,4,Semifinals,
Cameroon , Zaire,5,2,Third place match,
Congo , Mali,3,2,Final,
Egypt , Uganda,2,1,Group A,
Zambia , Ivory Coast,1,0,Group A,
Egypt , Zambia,3,1,Group A,
Ivory Coast , Uganda,2,2,Group A,
Egypt , Ivory Coast,2,0,Group A,
Zambia , Uganda,1,0,Group A,
Zaire , Guinea,2,1,Group B,
Congo , Mauritius,2,0,Group B,
Guinea , Mauritius,2,1,Group B,
Congo , Zaire,2,1,Group B,
Congo , Guinea,1,1,Group B,
Zaire , Mauritius,4,1,Group B,
Egypt , Zaire,2,3,Semifinals,
Congo , Zambia,2,4,Semifinals,
Congo , Egypt,0,4,Third place match,
Zaire , Zambia,2,2,Final,
Zaire , Zambia,2,0,Final,
Ethiopia , Uganda,2,0,Group A,
Egypt , Guinea,1,1,Group A,
Egypt , Uganda,2,1,Group A,
Ethiopia , Guinea,1,2,Group A,
Guinea , Uganda,2,1,Group A,
Ethiopia , Egypt,1,1,Group A,
Nigeria , Zaire,4,2,Group B,
Morocco , Sudan,2,2,Group B,
Nigeria , Sudan,1,0,Group B,
Morocco , Zaire,1,0,Group B,
Morocco , Nigeria,3,1,Group B,
Zaire , Sudan,1,1,Group B,
Guinea , Nigeria,1,1,Group B,
Morocco , Egypt,2,1,Group B,
Morocco , Nigeria,2,1,Group B,
Guinea , Egypt,4,2,Group B,
Nigeria , Egypt,3,2,Group B,
Guinea , Morocco,1,1,Group B,
Ghana , Zambia,2,1,Group A,
Nigeria , Upper Volta,4,2,Group A,
Zambia , Upper Volta,2,0,Group A,
Nigeria , Ghana,1,1,Group A,
Zambia , Nigeria,0,0,Group A,
Ghana , Upper Volta,3,0,Group A,
Morocco , Tunisia,1,1,Group B,
Uganda , Congo,3,1,Group B,
Tunisia , Uganda,3,1,Group B,
Morocco , Congo,1,0,Group B,
Congo , Tunisia,0,0,Group B,
Uganda , Morocco,3,0,Group B,
Ghana , Tunisia,1,0,Semi-finals,
Uganda , Nigeria,2,1,Semi-finals,
Nigeria , Tunisia,1,11,Third place match,
Ghana , Uganda,2,0,Final,
Nigeria , Tanzania,3,1,Group A,
Egypt , Ivory Coast,2,1,Group A,
Egypt , Tanzania,2,1,Group A,
Nigeria , Ivory Coast,0,0,Group A,
Ivory Coast , Tanzania,1,1,Group A,
Nigeria , Egypt,1,0,Group A,
Ghana , Algeria,0,0,Group B,
Morocco , Guinea,1,1,Group B,
Algeria , Morocco,1,0,Group B,
Ghana , Guinea,1,0,Group B,
Algeria , Guinea,3,2,Group B,
Morocco , Ghana,1,0,Group B,
Nigeria , Morocco,1,0,Semi-finals,
Algeria , Egypt,2,2,Semi-finals,
Morocco , Egypt,2,0,Third place match,
Nigeria , Algeria,3,0,Final,
Libya , Ghana,2,2,Group A,
Cameroon , Tunisia,1,1,Group A,
